"questionID","type","group","questionText","answer1","answer2","image1","answer3"
"77","tekst","4","Største irritasjonsmoment i hverdagen?","Printerne på universitetet","Bussene til AtB","","Bunnpris"
"91","hotOrNot","2","Lakris","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/lakris.jpg",""
"81","hotOrNot","1","Crocs","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/crocs.jpg",""
"88","hotOrNot","2","Paprika på pizza","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/paprika-pizza.jpg",""
"27","dilemma","2","","Være TV-kjendis","Være kjempesmart","",""
"96","hotOrNot","3","Chihuahua","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/Chihuahua.jpg",""
"126","hotOrNot","6","Game of Thrones","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/got.jpg",""
"71","tekst","3","Hva er verst?","Særskriving","Stripakaffe","","Buss for tog"
"119","hotOrNot","2","Søtpotet","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/sotpotet.jpg",""
"4","tekst","2","Hva ville du helst brukt 20 000 kr på?","TV","Bil","","Terrengsykkel"
"44","dilemma","4","","Daglig bli truffet av fuglebæsj","Konstant regn der du er","",""
"95","hotOrNot","3","Siv Jensen","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/siv-jensen.jpg",""
"32","dilemma","3","","Mangle ører","Ha ører i panna","",""
"41","dilemma","4","","Gråte hver gang du introduserer deg","Alltid rynke på nesen","",""
"51","harDu","1","Prutet i en klesbutikk fordi du ikke har hatt nok penger?","","","",""
"100","hotOrNot","4","Smartbil","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/smartbil.png",""
"78","tekst","4","Jeg valgte Trondheim på grunn av ...","NTNU","Studentmiljøet","","At alle andre dro dit"
"83","hotOrNot","1","Cosplay","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/cosplay.jpg",""
"68","tekst","1","Ingen hamburger uten ...","Sylteagurk","Ost","","Bacon"
"65","etisk","1","Du overhører en samtale du åpenbart ikke skulle hørt. Hva gjør du?","Setter musikk på ørene","Skriver ned stikkord for å huske hva som ble sagt","","Skyter inn i samtalen med en morsom kommentar"
"34","dilemma","3","","Mangle et øye","Ha et ekstra øye","",""
"101","hotOrNot","4","Bysykkel","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/bysykkel.png",""
"23","dilemma","1","","Være tydelig hjulbeint","Snuble i enhver dørstokk","",""
"111","dilemma","4","","Gå glipp av alle konsertene under UKA","Være hangover gjennom hele UKA","",""
"58","harDu","3","Vært fanget i en heis?","","","",""
"46","dilemma","4","","Være bakfull på eksamen","Være syk hele fadderperioden","",""
"19","dilemma","2","","Være verdenshersker","Kunne fly","",""
"112","tekst","2","Hva tar du med til en øde øy?","Flytemadrass","Kniv","","Hoppestokk"
"26","dilemma","2","","Få alt av mat og drikke gratis","Være immun mot alt","",""
"55","harDu","2","Jukset på eksamen?","","","",""
"56","harDu","2","Spist potetgull på lesesalen?","","","",""
"11","tekst","2","Når står du opp om morgenen?","Når alarmen ringer","Jeg sover ikke","","Når jeg vil"
"3","hotOrNot","1","Fedora","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/fedora.jpg",""
"70","tekst","2","Hva er onsdag for deg?","Midt i uken","Onz onz onzdag!","","Lillelørdag"
"85","hotOrNot","1","Bart","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/mustache.png",""
"69","tekst","2","Klokka er 10 på en tirsdag. Hvor er du?","Senga","Skolen","","Hjemme"
"20","etisk","1","Du tar tog til en fest og rekker ikke å kjøpe billett. Hva gjør du?","Går hjem","Satser på at det ikke blir kontroll","","Setter meg på taket, det pleier å være gratis"
"39","dilemma","3","","Oppriktig tro på julenissen","Glemme å kjøpe julegaver hvert år","",""
"45","dilemma","4","","Eksamen 18. mai","Ha forelesning kl 08:15 hver mandag","",""
"123","hotOrNot","3","Hester","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/horse.jpg",""
"124","hotOrNot","6","Høst","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/autumn.jpg",""
"74","tekst","4","Hvilken av UKAs konserter gleder du deg mest til?","Astrid S","Highasakite","","Future"
"37","dilemma","3","","Aldri mer høre musikk","Synge alt du sier","",""
"93","hotOrNot","2","Makrell i tomat","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/makrell-i-tomat.jpg",""
"29","dilemma","2","","Få dobbel lønn","Jobbe 5-timers dager","",""
"86","hotOrNot","1","Firkantskjegg","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/firkantskjegg.png",""
"21","etisk","1","Du har handlet og oppdager at en vare mangler på kvitteringen. Hva gjør du?","Går tilbake og betaler for varen","Later som om jeg ikke har sett det","","Gir bort varen"
"25","dilemma","1","","Alltid være andpusten","Nevne Crossfit i alle samtaler","",""
"125","hotOrNot","6","Alpin","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/alpint.jpg",""
"12","tekst","3","Hva er verst?","Særskriving","Forsinkelser","","Folk som ikke oppfører seg i trafikken"
"17","dilemma","2","","Ha ubegrenset med penger","Leve evig","",""
